"Tabela 2031 - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência por posição na ocupação e categoria do emprego no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência - percentual do total geral"
"Cód.","Município","Ano x Posição na ocupação e categoria do emprego no trabalho principal"
"Cód.","Município","2000",,,,,,,,,"2010"
"Cód.","Município","Total","Empregado","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria","Total","Empregado","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria"
"1100015","Alta Floresta D'Oeste (RO)","100.00","38.61","13.15","2.19","23.27","17.24","1.44","1.51","41.20","100.00","53.40","24.16","5.01","24.23","2.65","7.15","2.67","34.13"
"1100023","Ariquemes (RO)","100.00","59.26","28.68","4.89","25.68","2.69","4.01","3.76","30.28","100.00","66.45","40.14","5.98","20.33","1.46","2.79","2.22","27.08"
"1100031","Cabixi (RO)","100.00","48.89","11.50","6.40","30.99","9.27","7.31","3.50","31.03","100.00","53.31","22.32","7.21","23.78","3.03","10.36","0.62","32.69"
"1100049","Cacoal (RO)","100.00","53.38","28.47","3.34","21.57","10.79","2.82","1.97","31.04","100.00","65.37","38.24","7.22","19.92","1.99","6.36","1.99","24.29"
"1100056","Cerejeiras (RO)","100.00","56.37","20.12","7.06","29.19","5.01","7.46","3.03","28.13","100.00","58.54","23.54","9.16","25.84","3.73","7.51","2.22","28.00"
"1100064","Colorado do Oeste (RO)","100.00","51.83","20.38","6.59","24.85","9.92","2.90","2.01","33.34","100.00","62.01","29.07","9.02","23.93","1.70","9.36","1.45","25.48"
"1100072","Corumbiara (RO)","100.00","33.70","13.33","2.30","18.07","17.73","12.93","1.13","34.51","100.00","50.33","24.89","3.92","21.53","1.17","13.70","0.19","34.61"
"1100080","Costa Marques (RO)","100.00","48.27","16.06","6.68","25.53","11.55","7.99","1.14","31.05","100.00","54.35","19.75","6.01","28.58","0.75","7.79","0.72","36.39"
"1100098","Espigão D'Oeste (RO)","100.00","53.08","19.73","3.43","29.93","3.34","9.41","2.01","32.15","100.00","59.49","28.21","6.09","25.19","4.49","8.34","1.00","26.68"
"1100106","Guajará-Mirim (RO)","100.00","65.81","29.22","6.50","30.09","3.22","2.42","3.21","25.34","100.00","68.81","32.23","12.64","23.94","1.32","3.32","0.44","26.12"
